customers
customer_ID,firstName,lastName
'6258ebd7-4436-11ed-97a8-698b2ad48b41','Roy','Quinn'
'6258ebd9-4436-11ed-97a8-698b2ad48b41','Lori','Quinn'
'6258ebdb-4436-11ed-97a8-698b2ad48b41','Stacy','Rodriguez'
'6258ebdd-4436-11ed-97a8-698b2ad48b41','Anthony','Robertson'
'6258ebdf-4436-11ed-97a8-698b2ad48b41','Amanda','Jefferson'
'6258ebe1-4436-11ed-97a8-698b2ad48b41','Stacy','Jenkins'
'6258ebe3-4436-11ed-97a8-698b2ad48b41','Carter','Jefferson'
'6258ebe5-4436-11ed-97a8-698b2ad48b41','Amanda','Clark'
'6258ebe7-4436-11ed-97a8-698b2ad48b41','Tony','Robertson'
'6258ebe9-4436-11ed-97a8-698b2ad48b41','Lori','Thompson'
'6258ebeb-4436-11ed-97a8-698b2ad48b41','Stacy','Clark'
'6258ebed-4436-11ed-97a8-698b2ad48b41','Carter','Quinn'
'6258ebef-4436-11ed-97a8-698b2ad48b41','Carter','Brown'
'6258ebf1-4436-11ed-97a8-698b2ad48b41','Anthony','Clark'
'6258ebf3-4436-11ed-97a8-698b2ad48b41','Eric','Clark'
'6258ebf5-4436-11ed-97a8-698b2ad48b41','Eric','Gibson'
'6258ebf7-4436-11ed-97a8-698b2ad48b41','Tony','Gibson'
'6258ebf9-4436-11ed-97a8-698b2ad48b41','Tony','Gibson'
'6258ebfb-4436-11ed-97a8-698b2ad48b41','Eric','Rodriguez'
'6258ebfd-4436-11ed-97a8-698b2ad48b41','Mary','Banks'
'6258ebff-4436-11ed-97a8-698b2ad48b41','Tony','Thompson'
'6258ec01-4436-11ed-97a8-698b2ad48b41','Carter','Brown'
'6258ec03-4436-11ed-97a8-698b2ad48b41','Tony','Clark'
'6258ec05-4436-11ed-97a8-698b2ad48b41','Amanda','Brown'
'6258ec07-4436-11ed-97a8-698b2ad48b41','Lori','Thompson'
'6258ec09-4436-11ed-97a8-698b2ad48b41','Carter','Thompson'
'6258ec0b-4436-11ed-97a8-698b2ad48b41','Eric','Jefferson'
'6258ec0d-4436-11ed-97a8-698b2ad48b41','Jennifer','Quinn'
'6258ec0f-4436-11ed-97a8-698b2ad48b41','Eric','Rodriguez'
